gender,height,city
FeMale,188,seoul
FeMale,170,gyeonggi
Male,169,busan
FeMale,180,busan
Male,188,seoul
FeMale,167,seoul
FeMale,161,gyeonggi
FeMale,180,busan
FeMale,169,gyeonggi
FeMale,187,seoul
FeMale,185,gyeonggi
FeMale,172,gyeonggi
FeMale,174,seoul
Male,189,gyeonggi
Male,188,busan
FeMale,186,gyeonggi
Male,183,busan
Male,162,gyeonggi
Male,162,busan
FeMale,189,gyeonggi
FeMale,188,gyeonggi
Male,171,busan
FeMale,175,busan
Male,165,busan
Male,173,gyeonggi
FeMale,176,gyeonggi
FeMale,163,busan
Male,168,seoul
Male,190,seoul
FeMale,189,busan
Male,186,seoul
FeMale,183,seoul
FeMale,179,seoul
FeMale,184,busan
FeMale,172,gyeonggi
FeMale,189,busan
FeMale,160,busan
Male,187,seoul
Male,172,busan
FeMale,164,gyeonggi
FeMale,190,busan
FeMale,169,seoul
Male,176,gyeonggi
Male,171,busan
Male,172,gyeonggi
Male,176,seoul
FeMale,169,gyeonggi
Male,163,seoul
Male,176,gyeonggi
Male,189,seoul
Male,172,busan
FeMale,161,gyeonggi
FeMale,168,busan
Male,172,busan
Male,170,busan
Male,170,gyeonggi
FeMale,172,gyeonggi
Male,178,seoul
Male,179,gyeonggi
Male,167,busan
FeMale,175,gyeonggi
FeMale,174,seoul
Male,171,seoul
Male,163,busan
FeMale,190,gyeonggi
Male,175,gyeonggi
FeMale,161,gyeonggi
Male,173,gyeonggi
Male,178,seoul
FeMale,164,gyeonggi
Male,185,seoul
Male,173,seoul
FeMale,181,busan
FeMale,180,seoul
FeMale,173,busan
Male,160,gyeonggi
FeMale,175,busan
Male,178,busan
FeMale,174,busan
FeMale,172,busan
Male,169,seoul
FeMale,178,seoul
Male,169,seoul
FeMale,178,busan
Male,190,gyeonggi
FeMale,179,busan
Male,183,seoul
Male,187,seoul
Male,160,busan
Male,165,busan
FeMale,171,seoul
Male,181,seoul
Male,174,seoul
FeMale,167,busan
FeMale,167,gyeonggi
Male,189,busan
FeMale,187,seoul
FeMale,163,gyeonggi
FeMale,182,seoul
FeMale,173,gyeonggi
FeMale,186,busan
FeMale,163,busan
Male,163,seoul
Male,174,gyeonggi
FeMale,184,seoul
FeMale,176,seoul
FeMale,160,busan
Male,182,busan
Male,168,seoul
FeMale,183,busan
Male,172,gyeonggi
Male,171,busan
Male,188,busan
FeMale,182,busan
FeMale,161,seoul
Male,176,gyeonggi
FeMale,178,busan
Male,160,gyeonggi
FeMale,183,seoul
FeMale,161,busan
